POSITION_NAME|POSITION_NAME_ENG|POSITION_NAME_EXTRA
"เจ้าพนักงานการเงินและบัญชี"|""|""
"เจ้าพนักงานธุรการ"|""|""
"นักจัดการงานทั่วไป"|""|""
"นักทรัพยากรบุคคล"|""|""
"นักบัญชี"|""|""
"นักประชาสัมพันธ์"|""|""
"นักวิชาการคลัง"|""|""
"นักวิชาการคอมพิวเตอร์"|""|""
"นักวิชาการเงินและบัญชี"|""|""
"นักวิชาการตรวจสอบภายใน"|""|""
"นักวิชาการพัสดุ"|""|""
"นิติกร"|""|""
"ผู้เชี่ยวชาญเฉพาะด้าน"|""|""
"ผู้เชี่ยวชาญ"|""|""
"ผู้อำนวยการ"|""|""
"เศรษฐกร"|""|""
"เจ้าพนักงานการคลัง"|""|""
"เจ้าพนักงานขับรถยนต์"|""|""
