CODE|NAME
"0010"|"กรุงเทพมหานคร"
"0111"|"สมุทรปราการ"
"0112"|"นนทบุรี"
"0113"|"ปทุมธานี"
"0114"|"พระนครศรีอยุธยา"
"0115"|"อ่างทอง"
"0116"|"ลพบุรี"
"0117"|"สิงห์บุรี"
"0118"|"ชัยนาท"
"0119"|"สระบุรี"
"0220"|"ชลบุรี"
"0221"|"ระยอง"
"0222"|"จันทบุรี"
"0223"|"ตราด"
"0224"|"ฉะเชิงเทรา"
"0225"|"ปราจีนบุรี"
"0226"|"นครนายก"
"0227"|"สระแก้ว"
"0330"|"นครราชสีมา"
"0331"|"บุรีรัมย์"
"0332"|"สุรินทร์"
"0333"|"ศรีสะเกษ"
"0334"|"อุบลราชธานี"
"0335"|"ยโสธร"
"0336"|"ชัยภูมิ"
"0337"|"อำนาจเจริญ"
"0438"|"บึงกาฬ"
"0439"|"หนองบัวลำภู"
"0440"|"ขอนแก่น"
"0441"|"อุดรธานี"
"0442"|"เลย"
"0443"|"หนองคาย"
"0444"|"มหาสารคาม"
"0445"|"ร้อยเอ็ด"
"0446"|"กาฬสินธุ์"
"0447"|"สกลนคร"
"0448"|"นครพนม"
"0449"|"มุกดาหาร"
"0550"|"เชียงใหม่"
"0551"|"ลำพูน"
"0552"|"ลำปาง"
"0653"|"อุตรดิตถ์"
"0554"|"แพร่"
"0555"|"น่าน"
"0556"|"พะเยา"
"0557"|"เชียงราย"
"0558"|"แม่ฮ่องสอน"
"0660"|"นครสวรรค์"
"0661"|"อุทัยธานี"
"0662"|"กำแพงเพชร"
"0663"|"ตาก"
"0664"|"สุโขทัย"
"0665"|"พิษณุโลก"
"0666"|"พิจิตร"
"0667"|"เพชรบูรณ์"
"0770"|"ราชบุรี"
"0771"|"กาญจนบุรี"
"0772"|"สุพรรณบุรี"
"0773"|"นครปฐม"
"0774"|"สมุทรสาคร"
"0775"|"สมุทรสงคราม"
"0776"|"เพชรบุรี"
"0777"|"ประจวบคีรีขันธ์"
"0880"|"นครศรีธรรมราช"
"0881"|"กระบี่"
"0882"|"พังงา"
"0883"|"ภูเก็ต"
"0884"|"สุราษฎร์ธานี"
"0885"|"ระนอง"
"0886"|"ชุมพร"
"0990"|"สงขลา"
"0991"|"สตูล"
"0992"|"ตรัง"
"0993"|"พัทลุง"
"0994"|"ปัตตานี"
"0995"|"ยะลา"
"0996"|"นราธิวาส"
